date,open,close,high,low,涨跌幅,涨跌额,volume,成交额,振幅,换手率,ma50,ma200
2026-01-15 10:10:00,5.26,5.27,5.27,5.26,0.19,0.01,8592.0,4525266.0,0.19,0.0,5.368199999999999,5.415799999999999
2026-01-15 10:15:00,5.26,5.27,5.27,5.26,0.0,0.0,12296.0,6472265.0,0.19,0.01,5.365,5.415100000000001
2026-01-15 10:20:00,5.27,5.26,5.27,5.26,-0.19,-0.01,10120.0,5325315.0,0.19,0.0,5.361599999999999,5.414250000000001
2026-01-15 10:25:00,5.26,5.27,5.27,5.26,0.19,0.01,16242.0,8546016.0,0.19,0.01,5.3582,5.41345
2026-01-15 10:30:00,5.26,5.26,5.27,5.26,-0.19,-0.01,7554.0,3974874.0,0.19,0.0,5.3548,5.4126
2026-01-15 10:35:00,5.27,5.25,5.27,5.25,-0.19,-0.01,21968.0,11554032.0,0.38,0.01,5.3512,5.4117500000000005
2026-01-15 10:40:00,5.25,5.25,5.26,5.25,0.0,0.0,5322.0,2795262.0,0.19,0.0,5.3476,5.41085
2026-01-15 10:45:00,5.25,5.26,5.26,5.25,0.19,0.01,4838.0,2540826.0,0.19,0.0,5.3442,5.41005
2026-01-15 10:50:00,5.25,5.25,5.26,5.25,-0.19,-0.01,5332.0,2801419.0,0.19,0.0,5.340599999999999,5.40915
2026-01-15 10:55:00,5.25,5.26,5.26,5.25,0.19,0.01,8189.0,4300885.0,0.19,0.0,5.337199999999999,5.4083000000000006
2026-01-15 11:00:00,5.25,5.25,5.26,5.25,-0.19,-0.01,3642.0,1913627.0,0.19,0.0,5.333600000000001,5.4074
2026-01-15 11:05:00,5.25,5.25,5.26,5.25,0.0,0.0,8411.0,4416072.0,0.19,0.0,5.33,5.406549999999999
2026-01-15 11:10:00,5.26,5.26,5.26,5.25,0.19,0.01,4924.0,2587878.0,0.19,0.0,5.3264,5.4057
2026-01-15 11:15:00,5.25,5.25,5.26,5.25,-0.19,-0.01,7969.0,4187039.0,0.19,0.0,5.3228,5.4048
2026-01-15 11:20:00,5.25,5.25,5.26,5.25,0.0,0.0,2624.0,1379204.0,0.19,0.0,5.319,5.40395
2026-01-15 11:25:00,5.25,5.24,5.26,5.24,-0.19,-0.01,23046.0,12098497.0,0.38,0.01,5.3152,5.4030000000000005
2026-01-15 11:30:00,5.24,5.25,5.25,5.24,0.19,0.01,3639.0,1908337.0,0.19,0.0,5.3114,5.402100000000001
